Rodada,JogoLocal,JogoData,JogoNumero,JogoTimeA,JogoTimeB,Funcao,Nome,Categoria,Federacao
2,Ressacada - Florianopolis - SC,05/01/2019 19:15:00,18,Avaí - SC,Grêmio - RS,Assistente de Árbitro de Vídeo 1,Alexandre Vargas Tavares de Jesus,AB,RJ
2,Ressacada - Florianopolis - SC,05/01/2019 19:15:00,18,Avaí - SC,Grêmio - RS,Assistente de Árbitro de Vídeo 2,Silbert Faria Sisquim,AB,RJ
2,Ressacada - Florianopolis - SC,05/01/2019 19:15:00,18,Avaí - SC,Grêmio - RS,Observador de VAR,Hilton Moutinho Rodrigues,CBF,BR
2,Arena Castelão - Fortaleza - CE,05/01/2019 21:30:00,13,Fortaleza - CE,Athletico Paranaense - PR,Árbitro,Marcelo de Lima Henrique,MTR,RJ
2,Arena Castelão - Fortaleza - CE,05/01/2019 21:30:00,13,Fortaleza - CE,Athletico Paranaense - PR,Árbitro Assistente 1,Rodrigo Figueiredo Henrique Correa,FIFA,RJ
2,Arena Castelão - Fortaleza - CE,05/01/2019 21:30:00,13,Fortaleza - CE,Athletico Paranaense - PR,Árbitro Assistente 2,Luiz Claudio Regazone,AB,RJ
2,Arena Castelão - Fortaleza - CE,05/01/2019 21:30:00,13,Fortaleza - CE,Athletico Paranaense - PR,Quarto Árbitro,Leo Simão Holanda,AB,CE
2,Arena Castelão - Fortaleza - CE,05/01/2019 21:30:00,13,Fortaleza - CE,Athletico Paranaense - PR,Analista de Campo,Francisco de Assis Almeida Filho,CBF,CE
2,Arena Castelão - Fortaleza - CE,05/01/2019 21:30:00,13,Fortaleza - CE,Athletico Paranaense - PR,Árbitro de Vídeo,Rodrigo Nunes de Sa,AB,RJ
2,Arena Castelão - Fortaleza - CE,05/01/2019 21:30:00,13,Fortaleza - CE,Athletico Paranaense - PR,Assistente de Árbitro de Vídeo 1,Carlos Eduardo Nunes Braga,AB,RJ
2,Arena Castelão - Fortaleza - CE,05/01/2019 21:30:00,13,Fortaleza - CE,Athletico Paranaense - PR,Assistente de Árbitro de Vídeo 2,Daniel do Espirito Santo Parro,AB,RJ
2,Arena Castelão - Fortaleza - CE,05/01/2019 21:30:00,13,Fortaleza - CE,Athletico Paranaense - PR,Observador de VAR,Silvia Regina de Oliveira,CBF,SP
2,São Januário - Rio de Janeiro - RJ,05/01/2019 21:30:00,16,Vasco da Gama - RJ,Atlético - MG,Árbitro,Raphael Claus,FIFA,SP
2,São Januário - Rio de Janeiro - RJ,05/01/2019 21:30:00,16,Vasco da Gama - RJ,Atlético - MG,Árbitro Assistente 1,Danilo Ricardo Simon Manis,FIFA,SP
2,São Januário - Rio de Janeiro - RJ,05/01/2019 21:30:00,16,Vasco da Gama - RJ,Atlético - MG,Árbitro Assistente 2,Daniel Luis Marques,AB,SP
2,São Januário - Rio de Janeiro - RJ,05/01/2019 21:30:00,16,Vasco da Gama - RJ,Atlético - MG,Quarto Árbitro,Philip Georg Bennett,CD,RJ
2,São Januário - Rio de Janeiro - RJ,05/01/2019 21:30:00,16,Vasco da Gama - RJ,Atlético - MG,Analista de Campo,Sergio de Oliveira Santos,CBF,RJ
2,São Januário - Rio de Janeiro - RJ,05/01/2019 21:30:00,16,Vasco da Gama - RJ,Atlético - MG,Árbitro de Vídeo,Thiago Duarte Peixoto,AB,SP
2,São Januário - Rio de Janeiro - RJ,05/01/2019 21:30:00,16,Vasco da Gama - RJ,Atlético - MG,Assistente de Árbitro de Vídeo 1,Douglas Marques das Flores,AB,SP
2,São Januário - Rio de Janeiro - RJ,05/01/2019 21:30:00,16,Vasco da Gama - RJ,Atlético - MG,Assistente de Árbitro de Vídeo 2,Fabricio Porfirio de Moura,AB,SP
2,São Januário - Rio de Janeiro - RJ,05/01/2019 21:30:00,16,Vasco da Gama - RJ,Atlético - MG,Observador de VAR,Alicio Pena Junior,CBF,BR
2,Serra Dourada - Goiania - GO,05/01/2019 21:30:00,19,Goiás - GO,São Paulo - SP,Árbitro,Rafael Traci,AB,SC
2,Serra Dourada - Goiania - GO,05/01/2019 21:30:00,19,Goiás - GO,São Paulo - SP,Árbitro Assistente 1,Kleber Lucio Gil,FIFA,SC
